session_id,student_id,tutor_id,subject_id,stamp,duration,status,source_batch_id,ingest_ts
11128,379,1,1,2025-12-23 17:00:00,1.0,1,sim_2025-12-24,2025-12-24 00:00:00.447
11129,412,2,1,2025-12-23 13:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11130,504,3,1,2025-12-23 16:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11131,569,4,1,2025-12-23 16:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11132,602,3,1,2025-12-23 16:00:00,1.0,2,sim_2025-12-24,2025-12-24 00:00:00.447
11133,661,3,1,2025-12-23 18:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11134,663,3,1,2025-12-23 15:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11135,729,0,1,2025-12-23 18:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11136,827,0,1,2025-11-30 18:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11137,843,0,1,2025-12-23 18:00:00,1.0,2,sim_2025-12-24,2025-12-24 00:00:00.447
11138,859,1,1,2025-12-23 16:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11139,862,0,1,2025-12-23 13:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11140,869,2,1,2025-12-23 15:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11141,880,0,1,2025-12-23 18:00:00,60.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11142,898,2,1,2025-12-23 13:00:00,60.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11143,920,2,1,2025-12-23 17:00:00,1.0,2,sim_2025-12-24,2025-12-24 00:00:00.447
11144,929,4,1,2025-12-23 18:00:00,1.0,1,sim_2025-12-24,2025-12-24 00:00:00.447
11145,940,4,1,2025-12-23 19:00:00,1.0,1,sim_2025-12-24,2025-12-24 00:00:00.447
11146,967,4,2,2025-12-23 18:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
11147,968,4,1,2025-12-23 13:00:00,1.0,0,sim_2025-12-24,2025-12-24 00:00:00.447
