session_id,student_id,tutor_id,subject_id,stamp,duration,status,source_batch_id,ingest_ts
11167,165,3,1,2025-12-25 16:00:00,1.0,1,sim_2025-12-26,2025-12-26 00:00:00.389
11168,372,2,1,2025-12-25 15:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11169,392,2,1,2025-12-25 13:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11170,423,0,1,2025-12-25 16:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11171,689,0,1,2025-12-25 13:00:00,,0,sim_2025-12-26,2025-12-26 00:00:00.389
11172,713,4,1,2025-12-25 14:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11173,822,0,1,2025-12-25 15:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11174,830,0,1,2025-12-25 13:00:00,1.0,1,sim_2025-12-26,2025-12-26 00:00:00.389
11175,831,0,1,2025-12-25 14:00:00,1.0,1,sim_2025-12-26,2025-12-26 00:00:00.389
11176,837,2,1,2025-12-25 13:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11177,924,1,1,2025-12-25 15:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11178,950,1,1,2025-12-25 16:00:00,1.0,2,sim_2025-12-26,2025-12-26 00:00:00.389
11179,962,4,1,2025-12-25 14:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11180,971,1,3,2025-12-25 14:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11181,972,4,1,2025-12-25 17:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.389
11176,837,2,1,2025-12-25 13:00:00,1.0,0,sim_2025-12-26,2025-12-26 00:00:00.384
