session_id,student_id,tutor_id,subject_id,stamp,duration,status,source_batch_id,ingest_ts
11249,379,1,1,2025-12-30 17:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11250,412,2,1,2025-12-30 13:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11251,504,3,1,2025-12-30 16:00:00,1.0,2,sim_2025-12-31,2025-12-31 00:00:00.115
11252,569,4,1,2025-12-30 16:00:00,60.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11253,602,3,1,2025-12-30 17:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11254,661,3,1,2025-12-30 18:00:00,,0,sim_2025-12-31,2025-12-31 00:00:00.115
11255,663,3,1,2025-12-30 14:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11256,729,0,1,2025-12-30 17:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11257,827,0,1,2025-12-30 18:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11258,843,0,1,2025-12-30 18:00:00,1.0,2,sim_2025-12-31,2025-12-31 00:00:00.115
11259,859,1,1,2025-12-30 16:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11260,862,0,1,2025-12-30 12:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11261,869,2,1,2025-12-30 15:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11262,880,0,1,2025-12-30 18:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11263,898,2,1,2025-12-30 13:00:00,1.0,2,sim_2025-12-31,2025-12-31 00:00:00.115
11264,920,2,1,2025-12-30 17:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11265,929,4,1,2025-12-30 18:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11266,940,4,1,2025-12-02 18:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11267,968,4,1,2025-12-30 13:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11268,974,2,1,2025-12-30 14:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
11269,975,3,5,2025-12-30 14:00:00,1.0,0,sim_2025-12-31,2025-12-31 00:00:00.115
