session_id,student_id,tutor_id,subject_id,stamp,duration,status,source_batch_id,ingest_ts
11148,114,4,1,2025-12-24 19:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11149,278,0,1,2025-12-24 17:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11150,530,2,1,2025-12-24 18:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11151,621,2,1,2025-12-24 13:00:00,1.5,1,sim_2025-12-25,2025-12-25 00:00:00.431
11152,659,2,1,2025-12-24 16:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11153,728,1,1,2025-12-24 12:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11154,816,2,1,2025-12-24 15:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11155,841,2,1,2025-12-24 17:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11156,860,3,1,2025-12-24 15:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11157,861,3,1,2025-12-24 17:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11158,871,1,1,2025-12-24 18:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11159,882,0,1,2025-12-24 14:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11160,907,0,1,2025-12-24 13:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11161,910,3,1,2025-12-24 17:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11162,911,3,1,2025-12-24 13:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11163,921,4,1,2025-12-24 17:00:00,1.0,2,sim_2025-12-25,2025-12-25 00:00:00.431
11164,955,0,1,2025-12-24 13:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11165,969,1,3,2025-12-24 15:00:00,1.0,0,sim_2025-12-25,2025-12-25 00:00:00.431
11166,970,3,2,2025-12-24 15:00:00,,0,sim_2025-12-25,2025-12-25 00:00:00.431
