session_id,student_id,tutor_id,subject_id,stamp,duration,status,source_batch_id,ingest_ts
11078,200,0,1,2025-12-20 13:00:00,1.5,0,sim_2025-12-21,2025-12-21 00:00:00.341
11079,327,0,1,2025-12-20 16:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11080,512,4,1,2025-12-20 15:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11081,572,0,1,2025-12-20 19:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11082,694,0,1,2025-12-20 15:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11083,702,2,1,2025-12-20 13:00:00,2.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11084,817,3,1,2025-12-20 18:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11085,865,1,1,2025-12-20 15:00:00,2.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11086,876,3,1,2025-12-20 16:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11087,881,4,1,2025-12-20 15:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11088,885,3,1,2025-12-20 13:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11089,904,3,1,2025-12-20 13:00:00,1.5,0,sim_2025-12-21,2025-12-21 00:00:00.341
11090,913,4,1,2025-12-20 16:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11091,916,2,1,2025-12-20 14:00:00,1.0,2,sim_2025-12-21,2025-12-21 00:00:00.341
11092,963,2,6,2025-12-20 14:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
11093,964,2,4,2025-12-20 17:00:00,1.0,0,sim_2025-12-21,2025-12-21 00:00:00.341
