session_id,student_id,tutor_id,subject_id,stamp,duration,status
0,0,0,2,2021-08-24 17:00:00,2.0,0
1,1,0,3,2021-08-25 17:00:00,1.0,0
2,2,0,2,2021-08-28 18:00:00,1.0,0
3,3,0,4,2021-08-27 13:00:00,1.0,0
4,4,0,4,2021-08-25 15:00:00,1.0,0
5,5,0,2,2021-08-25 15:00:00,1.0,0
6,6,0,2,2021-08-28 17:00:00,1.0,0
7,7,0,1,2021-08-25 13:00:00,1.0,0
8,8,0,2,2021-08-28 14:00:00,1.0,0
9,9,0,2,2021-08-25 14:00:00,1.0,0
10,7,0,1,2021-09-01 13:00:00,1.0,0
11,9,0,3,2021-09-02 17:00:00,1.0,0
12,10,0,2,2021-09-02 15:00:00,1.0,0
13,1,0,5,2021-09-03 14:00:00,1.0,0
14,11,0,2,2021-09-03 18:00:00,1.0,0
15,5,0,3,2021-09-04 18:00:00,1.0,0
16,8,0,2,2021-09-05 17:00:00,1.0,0
17,6,0,3,2021-09-06 17:00:00,1.0,0
18,7,0,1,2021-09-08 13:00:00,1.0,0
19,2,0,6,2021-09-09 15:00:00,1.0,0
20,7,0,1,2021-09-15 13:00:00,1.0,2
21,5,0,2,2021-09-16 16:00:00,1.0,0
22,12,0,5,2021-09-16 14:00:00,1.0,0
23,13,0,2,2021-09-18 15:00:00,1.0,0
24,0,0,1,2021-09-19 15:00:00,2.0,0
25,8,0,1,2021-09-19 13:00:00,1.0,0
26,3,0,2,2021-09-21 16:00:00,1.0,0
27,4,0,2,2021-09-21 13:00:00,1.0,0
28,7,0,1,2021-09-22 13:00:00,1.0,1
29,14,0,3,2021-09-22 18:00:00,1.5,0
30,15,0,2,2021-09-25 17:00:00,1.0,0
31,0,0,1,2021-09-26 15:00:00,2.0,0
32,8,0,1,2021-09-26 13:00:00,1.0,0
33,13,0,2,2021-09-26 13:00:00,1.0,0
34,16,0,2,2021-09-27 13:00:00,1.0,0
35,7,0,1,2021-09-29 13:00:00,1.0,0
36,12,0,1,2021-09-29 17:00:00,1.0,0
37,17,0,4,2021-09-29 13:00:00,1.0,0
38,18,0,2,2021-09-30 14:00:00,1.0,0
39,19,0,2,2021-10-02 17:00:00,1.0,0
40,0,0,1,2021-10-03 15:00:00,2.0,2
41,8,0,1,2021-10-03 13:00:00,1.0,1
42,20,0,1,2021-10-03 14:00:00,1.0,0
43,21,0,2,2021-10-05 13:00:00,2.0,0
44,7,0,1,2021-10-06 13:00:00,1.0,0
45,12,0,1,2021-10-06 17:00:00,1.0,1
46,0,0,1,2021-10-10 15:00:00,2.0,0
47,8,0,1,2021-10-10 13:00:00,1.0,0
48,20,0,1,2021-10-10 14:00:00,1.0,0
49,22,0,2,2021-10-11 15:00:00,1.0,0
50,7,0,1,2021-10-13 13:00:00,1.0,0
51,12,0,1,2021-10-13 17:00:00,1.0,2
52,23,0,2,2021-10-14 17:00:00,1.0,0
53,24,0,2,2021-10-15 15:00:00,2.0,0
54,21,0,2,2021-10-16 13:00:00,2.0,0
55,25,0,1,2021-10-16 17:00:00,1.0,0
56,0,0,1,2021-10-17 15:00:00,2.0,1
57,8,0,1,2021-10-17 13:00:00,1.0,0
58,20,0,1,2021-10-17 14:00:00,1.0,0
59,26,0,2,2021-10-18 15:00:00,1.0,0
60,7,0,1,2021-10-20 13:00:00,1.0,1
61,12,0,1,2021-10-20 17:00:00,1.0,0
62,27,0,1,2021-10-21 18:00:00,1.0,0
63,25,0,1,2021-10-23 17:00:00,1.0,0
64,0,0,1,2021-10-24 15:00:00,2.0,1
65,8,0,1,2021-10-24 13:00:00,1.0,0
66,18,0,4,2021-10-24 14:00:00,1.0,0
67,20,0,1,2021-10-24 14:00:00,1.0,0
68,28,0,2,2021-10-24 13:00:00,1.0,0
69,7,0,1,2021-10-27 13:00:00,1.0,0
70,12,0,1,2021-10-27 17:00:00,1.0,0
71,27,0,1,2021-10-28 18:00:00,1.0,1
72,29,0,1,2021-10-28 15:00:00,1.5,0
73,25,0,1,2021-10-30 17:00:00,1.0,0
74,0,0,1,2021-10-31 15:00:00,2.0,0
75,8,0,1,2021-10-31 13:00:00,1.0,0
76,20,0,1,2021-10-31 14:00:00,1.0,0
77,30,0,4,2021-10-31 15:00:00,1.0,0
78,16,0,2,2021-11-01 16:00:00,1.0,0
79,24,0,2,2021-11-01 18:00:00,2.0,0
80,31,0,1,2021-11-01 13:00:00,1.0,0
81,32,0,3,2021-11-02 14:00:00,1.0,0
82,7,0,1,2021-11-03 13:00:00,1.0,0
83,10,0,1,2021-11-03 15:00:00,1.0,0
84,12,0,1,2021-11-03 17:00:00,1.0,2
85,33,0,1,2021-11-03 17:00:00,2.0,0
86,27,0,1,2021-11-04 18:00:00,1.0,0
87,29,0,1,2021-11-04 15:00:00,1.5,0
88,15,0,1,2021-11-06 18:00:00,1.0,0
89,25,0,1,2021-11-06 17:00:00,1.0,1
90,0,0,1,2021-11-07 15:00:00,2.0,0
91,8,0,1,2021-11-07 13:00:00,1.0,0
92,20,0,1,2021-11-07 14:00:00,1.0,0
93,34,0,3,2021-11-07 17:00:00,1.0,0
94,31,0,1,2021-11-08 13:00:00,1.0,0
95,35,0,4,2021-11-08 13:00:00,1.0,0
96,36,0,3,2021-11-09 16:00:00,1.0,0
97,7,0,1,2021-11-10 13:00:00,1.0,0
98,10,0,1,2021-11-10 15:00:00,1.0,0
99,12,0,1,2021-11-10 17:00:00,1.0,2
100,33,0,1,2021-11-10 17:00:00,2.0,0
101,16,0,1,2021-11-11 14:00:00,1.0,0
102,27,0,1,2021-11-11 18:00:00,1.0,0
103,28,0,2,2021-11-11 15:00:00,1.0,0
104,29,0,1,2021-11-11 15:00:00,1.5,0
105,15,0,1,2021-11-13 18:00:00,1.0,0
106,25,0,1,2021-11-13 17:00:00,1.0,2
107,37,0,3,2021-11-13 14:00:00,1.0,0
108,0,0,1,2021-11-14 15:00:00,2.0,0
109,8,0,1,2021-11-14 13:00:00,1.0,0
110,20,0,1,2021-11-14 14:00:00,1.0,0
111,38,0,1,2021-11-14 15:00:00,1.0,0
112,31,0,1,2021-11-15 13:00:00,1.0,1
113,39,0,1,2021-11-16 18:00:00,1.0,0
114,7,0,1,2021-11-17 13:00:00,1.0,0
115,10,0,1,2021-11-17 15:00:00,1.0,0
116,12,0,1,2021-11-17 17:00:00,1.0,0
117,33,0,1,2021-11-17 17:00:00,2.0,0
118,40,0,1,2021-11-17 13:00:00,1.0,0
119,16,0,1,2021-11-18 14:00:00,1.0,1
120,27,0,1,2021-11-18 18:00:00,1.0,2
121,29,0,1,2021-11-18 15:00:00,1.5,0
122,41,0,1,2021-11-19 13:00:00,1.0,0
123,14,0,2,2021-11-20 14:00:00,1.5,0
124,15,0,1,2021-11-20 18:00:00,1.0,0
125,25,0,1,2021-11-20 17:00:00,1.0,0
126,0,0,1,2021-11-21 15:00:00,2.0,1
127,8,0,1,2021-11-21 13:00:00,1.0,0
128,20,0,1,2021-11-21 14:00:00,1.0,0
129,38,0,1,2021-11-21 15:00:00,1.0,0
130,42,0,2,2021-11-21 13:00:00,1.0,0
131,31,0,1,2021-11-22 13:00:00,1.0,0
132,39,0,1,2021-11-23 18:00:00,1.0,0
133,43,0,2,2021-11-23 16:00:00,1.0,0
134,7,0,1,2021-11-24 13:00:00,1.0,1
135,10,0,1,2021-11-24 15:00:00,1.0,0
136,12,0,1,2021-11-24 17:00:00,1.0,0
137,33,0,1,2021-11-24 17:00:00,2.0,0
138,40,0,1,2021-11-24 13:00:00,1.0,2
139,44,0,2,2021-11-24 14:00:00,1.0,0
140,16,0,1,2021-11-25 14:00:00,1.0,1
141,27,0,1,2021-11-25 18:00:00,1.0,0
142,29,0,1,2021-11-25 15:00:00,1.5,0
143,45,0,2,2021-11-25 14:00:00,1.0,0
144,41,0,1,2021-11-26 13:00:00,1.0,0
145,15,0,1,2021-11-27 18:00:00,1.0,0
146,25,0,1,2021-11-27 17:00:00,1.0,0
147,46,0,5,2021-11-27 18:00:00,1.0,0
148,0,0,1,2021-11-28 15:00:00,2.0,0
149,8,0,1,2021-11-28 13:00:00,1.0,2
150,20,0,1,2021-11-28 14:00:00,1.0,2
151,38,0,1,2021-11-28 15:00:00,1.0,0
152,31,0,1,2021-11-29 13:00:00,1.0,0
153,39,0,1,2021-11-30 18:00:00,1.0,0
154,7,0,1,2021-12-01 13:00:00,1.0,0
155,10,0,1,2021-12-01 15:00:00,1.0,0
156,12,0,1,2021-12-01 17:00:00,1.0,0
157,33,0,1,2021-12-01 17:00:00,2.0,0
158,40,0,1,2021-12-01 13:00:00,1.0,1
159,16,0,1,2021-12-02 14:00:00,1.0,0
160,27,0,1,2021-12-02 18:00:00,1.0,1
161,29,0,1,2021-12-02 15:00:00,1.5,0
162,41,0,1,2021-12-03 13:00:00,1.0,0
163,15,0,1,2021-12-04 18:00:00,1.0,1
164,25,0,1,2021-12-04 17:00:00,1.0,1
165,0,0,1,2021-12-05 15:00:00,2.0,0
166,8,0,1,2021-12-05 13:00:00,1.0,0
167,20,0,1,2021-12-05 14:00:00,1.0,0
168,38,0,1,2021-12-05 15:00:00,1.0,0
169,31,0,1,2021-12-06 13:00:00,1.0,1
170,39,0,1,2021-12-07 18:00:00,1.0,2
171,7,0,1,2021-12-08 13:00:00,1.0,0
172,10,0,1,2021-12-08 15:00:00,1.0,0
173,12,0,1,2021-12-08 17:00:00,1.0,0
174,33,0,1,2021-12-08 17:00:00,2.0,0
175,40,0,1,2021-12-08 13:00:00,1.0,0
176,16,0,1,2021-12-09 14:00:00,1.0,0
177,27,0,1,2021-12-09 18:00:00,1.0,0
178,29,0,1,2021-12-09 15:00:00,1.5,0
179,47,0,2,2021-12-09 17:00:00,1.0,0
180,41,0,1,2021-12-10 13:00:00,1.0,0
181,48,0,2,2021-12-10 17:00:00,1.0,0
182,15,0,1,2021-12-11 18:00:00,1.0,0
183,25,0,1,2021-12-11 17:00:00,1.0,0
184,0,0,1,2021-12-12 15:00:00,2.0,0
185,8,0,1,2021-12-12 13:00:00,1.0,0
186,20,0,1,2021-12-12 14:00:00,1.0,0
187,38,0,1,2021-12-12 15:00:00,1.0,0
188,31,0,1,2021-12-13 13:00:00,1.0,0
189,39,0,1,2021-12-14 18:00:00,1.0,1
190,7,0,1,2021-12-15 13:00:00,1.0,1
191,10,0,1,2021-12-15 15:00:00,1.0,1
192,12,0,1,2021-12-15 17:00:00,1.0,2
193,33,0,1,2021-12-15 17:00:00,2.0,0
194,40,0,1,2021-12-15 13:00:00,1.0,0
195,49,0,1,2021-12-15 13:00:00,1.0,0
196,16,0,1,2021-12-16 14:00:00,1.0,0
197,27,0,1,2021-12-16 18:00:00,1.0,0
198,29,0,1,2021-12-16 15:00:00,1.5,0
199,41,0,1,2021-12-17 13:00:00,1.0,2
200,15,0,1,2021-12-18 18:00:00,1.0,0
