session_id,student_id,tutor_id,subject_id,stamp,duration,status,source_batch_id,ingest_ts
10116,83,2,1,2025-12-31 18:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10117,84,2,1,2025-12-31 13:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10118,147,1,1,2025-12-31 14:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10119,295,0,1,2025-12-31 18:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10120,497,2,1,2025-12-31 13:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10121,541,0,1,2025-12-31 17:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10122,619,0,1,2025-12-31 14:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10123,620,0,1,2025-12-31 18:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10124,727,0,1,2025-12-31 19:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10125,781,2,1,2025-12-31 16:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10126,795,0,1,2025-12-31 13:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10127,834,2,1,2025-12-31 16:00:00,1.0,1,sim_2026-01-01,2026-01-01 00:00:00.263
10128,845,3,1,2025-12-31 18:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10129,872,3,1,2025-12-31 18:00:00,1.0,2,sim_2026-01-01,2026-01-01 00:00:00.263
10130,884,3,1,2025-12-31 14:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
10131,941,2,2,2025-12-31 13:00:00,1.0,0,sim_2026-01-01,2026-01-01 00:00:00.263
